ID_MATRICULA;DT_NASCIMENTO;ESTADO_CIVIL;SEXO;DEFICIENCIA;COR_ETNIA;CIDADE_ORIGEM;CODIGO_CURSO;VERSAO_CURSO;DT_INGRESSO;FORMA_INGRESSO;MODALIDADE_INGRESSO;ANO_INGRESSO;PERIODO_INGRESSO;FORMA_EVASAO;DATA_EVASAO;DT_CONCLUSAO
15;12/01/1983;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;1452BI;2012-1;19/02/2016;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2016;1° Semestre;Desistente Oficial;30/01/2019;
16;21/06/1996;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;1452BI;2012-1;14/04/2014;Processo Seletivo: PAAES;Não se aplica;2014;1° Semestre;Desistente Oficial;;
17;25/01/1996;Solteiro(a);F;Não possui deficiência;Preta/Negra;Belo Horizonte;1137717BI;2016-1;14/04/2014;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2014;1° Semestre;Formado;22/12/2018;22/12/2018
18;05/05/1996;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;115728BN;2016-1;14/04/2014;Processo Seletivo: SISU;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2014;1° Semestre;Aluno com Vínculo;;
19;21/06/1996;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;115728BN;2016-1;07/08/2015;Processo Seletivo: Vestibular;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2015;2° Semestre;Desistente Oficial;;
20;06/02/1997;Casado(a);F;Não possui deficiência;Branca;Belo Horizonte;115728BN;2016-1;17/03/2015;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2015;1° Semestre;Desistente Oficial;;
21;04/07/1997;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;1452BI;2012-1;07/08/2015;Processo Seletivo: Vestibular;Modalidade 4 - Escola Pública/independente de renda;2015;2° Semestre;Desistente Oficial;01/02/2016;
22;31/05/1996;Solteiro(a);F;Não possui deficiência;Preta/Negra;Belo Horizonte;1137717BI;2016-1;06/04/2015;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2015;1° Semestre;Abandono;15/02/2019;
23;25/01/1995;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;1452BI;2012-1;23/09/2014;Processo Seletivo: Transferência Interna;Não se aplica;2014;2° Semestre;Formado;18/12/2019;18/12/2019
24;16/11/1998;Solteiro(a);M;;Branca;Belo Horizonte;1452BI;2012-1;11/08/2017;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2017;2° Semestre;Aluno com Vínculo;;
25;04/09/1997;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;115728BN;2016-1;27/03/2017;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2017;1° Semestre;Aluno com Vínculo;;
26;01/09/1997;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;1137717BI;2016-1;27/03/2017;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2017;1° Semestre;Abandono;15/02/2019;
27;07/03/1998;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;1452BI;2012-1;22/02/2016;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2016;1° Semestre;Abandono;29/11/2021;
28;01/03/1997;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;1137717BI;2016-1;29/08/2016;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2016;2° Semestre;Abandono;15/02/2019;
29;05/05/1998;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;1137717BI;2016-1;22/02/2016;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2016;1° Semestre;Desistente Oficial;04/07/2016;
30;21/08/1998;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Aluno com Vínculo;;
31;30/05/2001;Outros;M;Não possui deficiência;Branca;Belo Horizonte;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade L5 - Escola Pública/independente de renda;2019;1° Semestre;Aluno com Vínculo;;
32;01/10/1998;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade L1 - Escola Pública/até 1,5 Salário Mínimo;2019;1° Semestre;Desistente Oficial;28/04/2021;
33;12/01/1983;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Aluno com Vínculo;;
34;03/01/1988;Solteiro(a);M;Não possui deficiência;Parda;Bocaiúva;1137717BI;2016-1;20/05/2013;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2013;1° Semestre;Aluno com Vínculo;;
35;18/04/1975;Casado(a);M;Não possui deficiência;Branca;Bom Despacho;115728BN;2009-1;21/02/2011;Processo Seletivo: Vestibular;Não se aplica;2011;1° Semestre;Formado;01/09/2016;01/09/2016
36;23/05/1993;Solteiro(a);M;Não possui deficiência;Parda;Bom Jesus;115728BN;2009-1;21/02/2011;Processo Seletivo: PAAES;Não se aplica;2011;1° Semestre;Abandono;13/02/2015;
37;31/03/1996;Casado(a);M;Não possui deficiência;Branca;Bom Jesus de Goiás;115728BN;2016-1;23/02/2016;Processo Seletivo: Transferência Facultativa;Não se aplica;2016;1° Semestre;Aluno com Vínculo;;
38;23/11/1978;Solteiro(a);M;Não possui deficiência;Branca;Bom Jesus de Goiás;115728BN;2016-1;21/10/2013;Processo Seletivo: Transferência;Não se aplica;2013;2° Semestre;Abandono;;
39;07/03/1982;Solteiro(a);M;Não possui deficiência;Branca;Bom Jesus do Galho;1452BI;1097;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;1° Semestre;Formado;27/03/2013;14/12/2012
40;01/12/1986;Solteiro(a);M;Não possui deficiência;Não declarada;Boa Vista;1452BI;1097A;02/08/2004;Processo Seletivo: Vestibular;Não se aplica;2004;2° Semestre;Formado;12/11/2010;12/11/2010
41;21/10/1991;Solteiro(a);F;Não possui deficiência;Parda;Bom Jesus da Lapa;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2013;2° Semestre;Formado;02/04/2022;02/04/2022
42;30/12/1993;Solteiro(a);F;;Preta/Negra;Botucatu;1452BI;2012-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Formado;19/06/2021;19/06/2021
43;17/04/1991;Solteiro(a);M;Não possui deficiência;Parda;Brasilândia de Minas;115728BN;2016-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Aluno com Vínculo;;
44;09/09/1998;Solteiro(a);F;Não possui deficiência;Branca;Brasília;1137717BI;2016-1;11/08/2017;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2017;2° Semestre;Abandono;29/11/2021;
45;10/06/1988;Solteiro(a);F;Não possui deficiência;Não declarada;Brasília;1452BI;1097A;23/05/2006;Processo Seletivo: PAIES;Não se aplica;2006;1° Semestre;Formado;09/07/2010;09/07/2010
46;20/12/1982;Solteiro(a);M;Não possui deficiência;Não declarada;Brasília;1452BI;1097A;16/08/2005;Processo Seletivo: Vestibular;Não se aplica;2005;2° Semestre;Formado;24/03/2011;24/03/2011
47;28/01/1986;Solteiro(a);M;Não possui deficiência;Não declarada;Brasília;1452BI;1097A;01/08/2004;Processo Seletivo: Vestibular;Não se aplica;2004;2° Semestre;Formado;01/07/2009;01/07/2009
48;22/10/1986;Solteiro(a);M;Não possui deficiência;Não declarada;Brasília;1452BI;1097A;18/03/2008;Processo Seletivo: Transferência;Não se aplica;2008;1° Semestre;Formado;28/07/2014;28/07/2014
49;21/04/1989;Solteiro(a);F;Não possui deficiência;Não declarada;Brasília;1452BI;1097A;09/04/2007;Processo Seletivo: PAIES;Não se aplica;2007;1° Semestre;Desistente Oficial;17/05/2011;
50;17/02/1991;Solteiro(a);M;Não possui deficiência;Não declarada;Brasília;1452BI;1097A;02/03/2009;Processo Seletivo: PAIES;Não se aplica;2009;1° Semestre;Formado;30/01/2014;15/03/2014
51;12/05/1992;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;115728BN;2009-1;01/03/2010;Processo Seletivo: Vestibular;Não se aplica;2010;1° Semestre;Desistente Oficial;30/09/2013;
52;10/05/1992;Solteiro(a);M;Não possui deficiência;Não declarada;Brasília;115728BN;2009-1;01/03/2010;Processo Seletivo: PAIES;Não se aplica;2010;1° Semestre;Formado;19/12/2015;19/12/2015
53;03/06/1994;Solteiro(a);M;Não possui deficiência;Branca;Brasília;1452BI;2012-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Desistente Oficial;;
54;10/03/1994;Solteiro(a);M;Não possui deficiência;Branca;Brasília;115728BN;2009-1;27/02/2012;Processo Seletivo: PAAES;Não se aplica;2012;1° Semestre;Desistente Oficial;13/02/2015;
55;10/05/1993;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;115728BN;2016-1;27/02/2012;Processo Seletivo: PAAES;Não se aplica;2012;1° Semestre;Desistente Oficial;04/07/2016;
56;15/04/1995;Solteiro(a);F;Não possui deficiência;Branca;Brasília;1137717BI;2016-1;20/05/2013;Processo Seletivo: PAAES;Não se aplica;2013;1° Semestre;Transferência Interna;;
57;26/06/1994;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;1137717BI;2014-1;20/05/2013;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2013;1° Semestre;Desistente Oficial;27/03/2014;
58;11/02/1989;Solteiro(a);M;Não possui deficiência;Branca;Brasília;115728BN;2016-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Abandono;;
59;25/02/1995;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;1452BI;2012-1;19/09/2014;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2014;2° Semestre;Abandono;29/11/2021;
60;06/02/1980;Outros;M;Não possui deficiência;Parda;Brasília;1452BI;2012-1;06/03/2015;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2015;1° Semestre;Abandono;;
61;02/04/1996;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;1137717BI;2016-1;26/03/2015;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2015;1° Semestre;Formado;20/08/2022;20/08/2022
62;03/06/1994;Solteiro(a);M;Não possui deficiência;Branca;Brasília;115728BN;2016-1;07/08/2015;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2015;2° Semestre;Aluno com Vínculo;;
63;06/10/1996;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;115728BN;2016-1;24/02/2016;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2016;1° Semestre;Formado;11/12/2020;11/12/2020
64;16/04/1997;Solteiro(a);M;Não possui deficiência;Parda;Brasília;115728BN;2016-1;22/02/2016;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2016;1° Semestre;Aluno com Vínculo;;
65;30/09/1991;Solteiro(a);M;Não possui deficiência;Parda;Brasília;115728BN;2016-1;22/02/2016;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2016;1° Semestre;Cancelamento por indeferimento de renda;04/08/2016;
66;10/05/1993;Solteiro(a);M;Não possui deficiência;Preta/Negra;Brasília;115728BN;2016-1;19/07/2016;Processo Seletivo: Vestibular;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2016;2° Semestre;Aluno com Vínculo;;
67;04/05/1999;Solteiro(a);M;Não possui deficiência;Parda;Brasília;115728BN;2016-1;27/03/2017;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2017;1° Semestre;Desistente Oficial;25/07/2018;
68;03/01/1996;Solteiro(a);M;Não possui deficiência;Parda;Brasília;1137717BI;2016-1;10/08/2016;Processo Seletivo: Vestibular;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2016;2° Semestre;Abandono;29/11/2021;
69;21/08/2000;Solteiro(a);M;Não possui deficiência;Branca;Brasília;1452BI;2012-1;11/08/2017;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2017;2° Semestre;Aluno com Vínculo;;
70;01/06/1997;Solteiro(a);F;Deficiência Visual (baixa visão);Preta/Negra;Brasília;115728BN;2016-1;04/05/2017;Processo Seletivo: Transferência Facultativa;Não se aplica;2017;1° Semestre;Aluno com Vínculo;;
71;15/04/1995;Solteiro(a);F;Não possui deficiência;Branca;Brasília;115728BN;2016-1;25/04/2017;Processo Seletivo: Transferência Interna;Não se aplica;2017;1° Semestre;Formado;22/12/2018;22/12/2018
72;11/10/1995;Solteiro(a);M;;Branca;Brasília;115728BN;2016-1;26/09/2017;Processo Seletivo: Vestibular;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2017;2° Semestre;Aluno com Vínculo;;
73;06/04/2001;Solteiro(a);M;;Preta/Negra;Brasília de Minas;1452BI;2012-1;01/03/2019;Processo Seletivo: SISU;Modalidade L2 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2019;1° Semestre;Aluno com Vínculo;;
74;30/03/1976;Solteiro(a);M;Não possui deficiência;Não declarada;Bueno Brandão;1452BI;2012-1;27/02/2012;Processo Seletivo: SISU;Não se aplica;2012;1° Semestre;Abandono;13/02/2015;
75;30/03/1976;Solteiro(a);M;Não possui deficiência;Não declarada;Bueno Brandão;1452BI;1097A;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Desistente Oficial;13/02/2012;
76;19/05/1995;Solteiro(a);M;Não possui deficiência;Parda;Buritizeiro;1452BI;2012-1;01/03/2019;Processo Seletivo: Transferência Facultativa;Não se aplica;2019;1° Semestre;Desistente Oficial;;
77;17/04/1995;Solteiro(a);M;Não possui deficiência;Parda;Buritizeiro;1452BI;2012-1;20/05/2013;Processo Seletivo: PAAES;Não se aplica;2013;1° Semestre;Desistente Oficial;;
78;15/07/1985;Solteiro(a);M;Não possui deficiência;Branca;Buritizeiro;1137717BI;2016-1;14/04/2014;Processo Seletivo: SISU;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2014;1° Semestre;Abandono;29/11/2021;
79;03/07/2000;Solteiro(a);M;;Parda;Buritis;115728BN;2016-1;05/03/2018;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2018;1° Semestre;Aluno com Vínculo;;
80;25/09/1986;Solteiro(a);M;Não possui deficiência;Branca;Buriti Alegre;115728BN;2016-1;20/05/2013;Processo Seletivo: SISU;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2013;1° Semestre;Formado;13/08/2019;13/08/2019
81;13/01/2002;Solteiro(a);M;;Branca;Caldas Novas;1452BI;2012-1;07/08/2019;Processo Seletivo: Vestibular;Modalidade L1 - Escola Pública/até 1,5 Salário Mínimo;2019;2° Semestre;Aluno com Vínculo;;
82;29/05/1996;Solteiro(a);M;Não possui deficiência;Parda;Caldas Novas;115728BN;2016-1;07/08/2015;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2015;2° Semestre;Formado;20/08/2022;20/08/2022
83;06/08/1997;Solteiro(a);F;Não possui deficiência;Parda;Caldas Novas;1452BI;2012-1;27/07/2016;Processo Seletivo: Vestibular;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2016;2° Semestre;Desistente Oficial;09/08/2018;
84;07/03/2001;Solteiro(a);M;;Branca;Caldas Novas;115728BN;2016-1;08/08/2018;Processo Seletivo: Vestibular;Modalidade A0 - Ampla Concorrência;2018;2° Semestre;Aluno com Vínculo;;
85;15/04/1997;Solteiro(a);M;Não possui deficiência;Branca;Campina Verde;1452BI;2012-1;07/08/2019;Processo Seletivo: Vestibular;Modalidade A0 - Ampla Concorrência;2019;2° Semestre;Aluno com Vínculo;;
86;29/04/1988;Solteiro(a);M;Não possui deficiência;Branca;Campina Verde;1452BI;1097A;17/10/2006;Processo Seletivo: Vestibular;Não se aplica;2006;2° Semestre;Formado;28/05/2013;18/04/2013
87;07/09/1983;Solteiro(a);M;;Branca;Campina Verde;1452BI;1097A;01/04/2004;Processo Seletivo: Vestibular;Não se aplica;2004;1° Semestre;Jubilamento;24/07/2013;
88;13/08/1990;Solteiro(a);M;Não possui deficiência;Branca;Campina Verde;115728BN;2009-1;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Formado;24/02/2015;24/02/2015
89;13/04/1991;Solteiro(a);M;Não possui deficiência;Branca;Campina Verde;1452BI;1097A;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Formado;30/08/2014;30/08/2014
90;27/12/1988;Solteiro(a);F;Não possui deficiência;Parda;Campina Verde;1452BI;1097A;10/03/2008;Processo Seletivo: Vestibular;Não se aplica;2008;1° Semestre;Formado;09/11/2012;09/11/2012
91;07/11/1991;Solteiro(a);F;Não possui deficiência;Não declarada;Campina Verde;115728BN;2009-1;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Transferência Interna;18/08/2011;
92;08/03/1991;Solteiro(a);F;Não possui deficiência;Branca;Campina Verde;115728BN;2016-1;09/01/2012;Processo Seletivo: Transferência;Não se aplica;2012;1° Semestre;Formado;20/07/2020;16/01/2020
93;20/05/1989;Não informado;M;Não possui deficiência;Branca;Campina Verde;1137717BI;2014-1;27/02/2012;Processo Seletivo: SISU;Não se aplica;2012;2° Semestre;Desistente Oficial;17/03/2014;
94;29/02/1972;Divorciado(a);F;Deficiência Mental;Parda;Campina Verde;115728BN;2016-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Aluno com Vínculo;;
95;05/12/1991;Solteiro(a);M;Outras Deficiências;Parda;Campina Verde;1452BI;2012-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Jubilamento;28/02/2015;
96;15/04/1993;Solteiro(a);M;Não possui deficiência;Branca;Campina Verde;115728BN;2016-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Aluno com Vínculo;;
97;12/07/1994;;M;Não possui deficiência;Parda;Campina Verde;1137717BI;2016-1;20/05/2013;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2013;1° Semestre;Desistente Oficial;22/03/2016;
98;04/07/1988;Solteiro(a);M;Não possui deficiência;Parda;Campina Verde;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2013;2° Semestre;Desistente Oficial;13/03/2015;
99;04/03/1996;Solteiro(a);M;Não possui deficiência;Parda;Campina Verde;115728BN;2009-1;14/04/2014;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2014;1° Semestre;Transferido;30/07/2015;
100;20/05/1989;Não informado;M;Não possui deficiência;Branca;Campina Verde;1137717BI;2016-1;14/04/2014;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2014;1° Semestre;Transferência Interna;;
101;04/07/1988;Solteiro(a);M;Não possui deficiência;Parda;Campina Verde;1452BI;2012-1;19/03/2015;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2015;1° Semestre;Aluno com Vínculo;;
102;15/01/1996;Solteiro(a);F;Não possui deficiência;Parda;Campina Verde;115728BN;2016-1;14/04/2014;Processo Seletivo: PAAES;Não se aplica;2014;1° Semestre;Formado;18/07/2019;18/07/2019
103;27/03/1992;Solteiro(a);M;Não possui deficiência;Não declarada;Campina Verde;115728BN;2016-1;14/04/2014;Processo Seletivo: SISU;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2014;1° Semestre;Formado;09/06/2020;09/06/2020
104;07/09/1983;Solteiro(a);M;;Branca;Campina Verde;115728BN;2016-1;19/07/2016;Processo Seletivo: Vestibular;Modalidade 4 - Escola Pública/independente de renda;2016;2° Semestre;Aluno com Vínculo;;
105;20/05/1989;Não informado;M;Não possui deficiência;Branca;Campina Verde;115728BN;2016-1;19/02/2016;Processo Seletivo: Transferência Facultativa;Não se aplica;2016;1° Semestre;Abandono;29/11/2021;
106;12/09/1998;Solteiro(a);F;Não possui deficiência;Parda;Campina Verde;1452BI;2012-1;05/09/2016;Processo Seletivo: Vestibular;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2016;2° Semestre;Aluno com Vínculo;;
107;10/10/1997;Solteiro(a);M;Não possui deficiência;Branca;Campina Verde;115728BN;2016-1;22/03/2018;Processo Seletivo: Transferência Facultativa;Não se aplica;2018;1° Semestre;Aluno com Vínculo;;
108;14/07/1992;Solteiro(a);M;Não possui deficiência;Preta/Negra;Campina Verde;115728BN;2016-1;22/03/2018;Processo Seletivo: Transferência Facultativa;Não se aplica;2018;1° Semestre;Aluno com Vínculo;;
109;15/01/1996;Solteiro(a);M;Não possui deficiência;Parda;Campinas;115728BN;2016-1;22/02/2016;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2016;1° Semestre;Aluno com Vínculo;;
110;05/05/1994;Solteiro(a);M;Não possui deficiência;Branca;Campinas;1452BI;2012-1;27/02/2012;Processo Seletivo: SISU;Não se aplica;2012;1° Semestre;Formado;24/01/2018;24/01/2018
111;21/09/1992;Solteiro(a);M;Não possui deficiência;Branca;Campinas;115728BN;2009-1;01/03/2010;Processo Seletivo: PAIES;Não se aplica;2010;1° Semestre;Desistente Oficial;13/09/2012;
112;25/07/1992;Solteiro(a);M;Não possui deficiência;Branca;Campinas;1452BI;2012-1;20/05/2013;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2013;1° Semestre;Transferência Interna;;
113;25/07/1992;Solteiro(a);M;Não possui deficiência;Branca;Campinas;115728BN;2016-1;19/02/2016;Processo Seletivo: Transferência Facultativa;Não se aplica;2016;1° Semestre;Formado;13/07/2019;13/07/2019
114;24/12/1993;Solteiro(a);M;Não possui deficiência;Branca;Campinas;1452BI;2012-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Desistente Oficial;26/03/2015;
115;24/12/1993;Solteiro(a);M;Não possui deficiência;Branca;Campinas;115728BN;2016-1;26/03/2015;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2015;1° Semestre;Abandono;29/11/2021;
116;03/07/1997;Solteiro(a);M;Não possui deficiência;Branca;Campinas;1452BI;2012-1;03/03/2015;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2015;1° Semestre;Formado;13/07/2019;13/07/2019
117;26/04/1999;Solteiro(a);M;Não possui deficiência;Branca;Campinas;115728BN;2016-1;11/08/2017;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2017;2° Semestre;Desistente Oficial;29/03/2018;
118;27/12/1993;Solteiro(a);M;Não possui deficiência;Parda;Canápolis;115728BN;2016-1;26/03/2015;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2015;1° Semestre;Desistente Oficial;04/06/2018;
119;07/01/1992;Solteiro(a);M;Não possui deficiência;Parda;Canápolis;115728BN;2016-1;21/02/2011;Processo Seletivo: Vestibular;Não se aplica;2011;1° Semestre;Jubilamento;;
